Rank,Name,Occupation,Genre,Age,Availability,Location,Rating
210,Gilligan Asals,VP Quality Control,"Medical,Driving,Computer",38,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,6.7
211,Giffie Brend,VP Sales,"Child Care,Seniors,Medical",47,"Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,6.1
212,Ciro Waples,Environmental Tech,Medical,40,Wednesday,Nepean,5.3
213,Fabe Finker,VP Sales,"Child Care,Seniors,Mental Health",19,Saturday,Sandy Hill,7.1
214,Dame Iacoboni,Senior Sales Associate,"Child Care,Medical,Cleaning",33,"Sunday,Wednesday,Thursday",Glebe,5.8
215,Catlaina Vipan,Help Desk Technician,"Child Care,Seniors,Tutoring",53,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,7
216,Stephanie Caplis,Sales Associate,"Child Care,Seniors,Tutoring",53,Friday,Sandy Hill,5.5
217,Silvain Macieja,Editor,"Child Care,Seniors,Mental Health",41,"Sunday,Wednesday,Saturday",Nepean,7.8
218,Micheal Perel,Recruiter,"Child Care,Seniors,Overnight",30,"Sunday,Wednesday,Friday",Kanata,5.7
219,Hans Ranklin,Editor,"Medical,Driving",41,"Sunday,Tuesday",Barhaven,6.1
220,Ilka Fusco,Mechanical Systems Engineer,"Child Care,Overnight",41,"Monday,Tuesday,Wednesday,Friday,Saturday",Kemptvile,7.7
221,Beilul Gillies,Programmer I,"Child Care,Seniors,Mental Health",38,"Sunday,Thursday,Friday",Kanata,6.7
222,Trixi Elsmor,Financial Advisor,"Disability,Seniors,Overnight",19,"Monday,Tuesday,Wednesday,Friday,Saturday",Centretown,7.1
223,Felicdad Billyeald,Tax Accountant,"Driving,Cleaning",51,"Tuesday,Wednesday,Thursday,Friday",Nepean,6.9
224,Johnny Enston,Mechanical Systems Engineer,"Maternal,Medical,Cleaning",30,Thursday,Glebe,7.8
225,Duky Measures,Software Consultant,"Overnight,Maternal",41,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Downtown,7
226,Davidson Whittle,Assistant Professor,Medical,37,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,7
227,Xavier Swatton,Senior Developer,"Overnight,Medical,Spiritual",47,"Tuesday,Wednesday,Saturday",Carleton Place,7.1
228,Tootsie Palomba,Project Manager,"Child Care,Seniors,Mental Health",25,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Glebe,6.4
229,Nevil Samweyes,Teacher,"Child Care,Seniors,Therapy",37,Sunday,Southkeys,7
230,Elna Domenc,Financial Advisor,"Driving,Mental Health,Computer",44,"Monday,Saturday",Nepean,4.8
231,Edouard Monier,Geologist II,"Medical,Tutoring,Home Maintenence",58,"Monday,Tuesday,Thursday",Carp,8.2
232,Karol Colisbe,Director of Sales,"Maternal,Medical,Computer",48,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,5.2
233,Moreen Catlette,Media Manager IV,"Child Care,Seniors,Medical",56,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,7.8
234,Joan Idill,Geological Engineer,"Child Care,Seniors,Computer",26,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Kanata,7.4
235,Khalil Belz,Developer IV,"Child Care,Seniors,Medical",34,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,6.1
236,Amabel Crouch,Database Administrator II,"Medical,Spiritual",41,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,8
237,Freddy Eyckel,Compensation Analyst,"Cooking,Medical,Shopping",52,Monday,Carp,6.8
238,Kamilah Zanetti,VP Quality Control,"Medical,Driving,Computer",62,"Sunday,Monday,Tuesday,Wednesday,Saturday",Centretown,3.9
239,Siobhan Mathivon,VP Sales,"Seniors,Overnight,Medical",35,"Sunday,Monday,Wednesday,Thursday",Glebe,8.1
240,Olin Booi,Civil Engineer,"Child Care,Seniors,Spiritual",48,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,5.9
241,Elwood Redferne,Media Manager III,"Child Care,Medical,Home Maintenence",56,"Monday,Tuesday,Wednesday,Friday",Carp,7.6
242,Deirdre Couves,Geologist I,"Disability,Seniors,Overnight",21,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,8.2
243,Lucinda Tidball,Account Representative II,"Disability,Seniors,Overnight",23,"Sunday,Wednesday,Thursday,Saturday",Centretown,5.8
244,Udall Trahair,Senior Cost Accountant,"Child Care,Seniors,Mental Health",18,"Monday,Wednesday,Saturday",Southkeys,6.5
245,Dniren Clinnick,Web Designer IV,"Seniors,Therapy,Tutoring",46,"Tuesday,Wednesday,Thursday,Friday",Southkeys,5.9
246,Editha Filippozzi,Environmental Tech,"Medical,Counsellingal,Spiritual",23,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Rockland,7.6
247,Emmery Walkley,Civil Engineer,"Medical,Mental Health,Computer",23,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Sandy Hill,7.9
248,Lucias Margram,Software Consultant,"Overnight,Medical",37,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Kemptvile,7.4
249,Tamera Rea,Teacher,"Child Care,Overnight,Maternal",19,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,7.1
250,Edmon Hatterslay,Sales Associate,"Cooking,Overnight,Medical",40,"Sunday,Monday,Thursday,Saturday",Orleans,8.6
251,Robinett Bloomfield,GIS Technical Architect,"Overnight,Medical,Spiritual",21,"Sunday,Monday,Thursday",Glebe,4.9
252,Isa Hamlyn,Senior Editor,"Medical,Computer",62,Wednesday,Nepean,7.3
253,Mick Falkner,Clinical Specialist,"Cooking,Medical,Shopping",18,"Sunday,Friday",Rockland,7.9
254,Nigel Van den Oord,Chemical Engineer,"Child Care,Seniors,Mental Health",54,"Sunday,Monday,Tuesday,Thursday,Friday",Downtown,6.7
255,Carma Yurukhin,Electrical Engineer,"Driving,Cleaning,Computer",23,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,7.5
256,Lynnett Crux,Geologist IV,Overnight,36,"Monday,Tuesday,Wednesday,Thursday,Saturday",Centretown,7.8
257,Barbey Laye,Account Coordinator,"Child Care,Seniors,Mental Health",57,"Wednesday,Friday",Kemptvile,5.8
258,Guido Knowller,VP Product Management,"Child Care,Medical,Mental Health",52,"Sunday,Monday,Tuesday,Wednesday,Saturday",Carp,7.6
259,Jannelle Focke,Software Consultant,Driving,26,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,6.4
260,Franciska Kramer,Senior Cost Accountant,"Medical,Computer",41,"Monday,Tuesday,Wednesday,Saturday",Kemptvile,7.1
261,Broderick Charge,Editor,"Overnight,Medical,Spiritual",37,"Monday,Tuesday,Wednesday,Friday,Saturday",Kemptvile,7.8
262,Ana Llewellin,Civil Engineer,"Medical,Computer",50,"Monday,Tuesday,Thursday,Friday,Saturday",Sandy Hill,8
263,Borden Darville,Biostatistician I,"Overnight,Medical",48,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Carp,6.2
264,Delinda Baudacci,Research Assistant IV,Medical,40,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,7
265,Jobyna Baccas,Analog Circuit Design manager,"Child Care,Seniors,Overnight",28,"Thursday,Friday,Saturday",Kemptvile,6
266,Kipp Yukhov,Health Coach III,"Medical,Driving,Computer",57,"Monday,Tuesday,Wednesday,Thursday",Rockland,4.9
267,Nissa Coils,Senior Cost Accountant,Overnight,57,"Sunday,Tuesday,Saturday",Downtown,6
268,Ashlie Diben,VP Sales,"Medical,Mental Health",46,"Monday,Tuesday,Wednesday,Thursday,Friday",Carp,7.5
269,Vallie Clausewitz,VP Sales,"Child Care,Seniors,Mental Health",45,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Nepean,6.7
270,Monti Annandale,Recruiting Manager,Driving,49,"Sunday,Tuesday,Thursday,Friday",Rockland,3.7
271,Kyle Guisler,Assistant Media Planner,"Child Care,Seniors,Computer",58,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,7.8
272,Cherish Shoemark,GIS Technical Architect,"Seniors,Tutoring",65,"Monday,Tuesday,Wednesday,Saturday",Rockland,7.9
273,Ardyth Cancelier,Teacher,"Child Care,Overnight,Maternal",33,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,7.2
274,Terry Ambroz,Sales Representative,"Overnight,Medical,Counselling",35,"Sunday,Monday,Tuesday,Friday",Barhaven,8
275,Mildrid Ellwand,Legal Assistant,"Disability,Seniors,Overnight",23,"Sunday,Monday,Tuesday,Wednesday,Friday",Southkeys,6.8
276,Garvin Twigg,Product Engineer,"Child Care,Seniors,Cleaning",19,"Monday,Tuesday,Wednesday,Thursday,Saturday",Kemptvile,7
277,Winthrop Dallyn,Junior Executive,"Child Care,Overnight,Maternal",42,"Sunday,Monday,Thursday,Friday,Saturday",Kemptvile,7.1
278,Hervey Vlasenkov,Chemical Engineer,"Maternal,Medical,Shopping",25,"Sunday,Friday",Nepean,7.7
279,Reider Forgan,Design Engineer,Overnight,46,"Monday,Thursday,Saturday",Kemptvile,7
280,Mikey Cloute,Data Coordiator,"Child Care,Seniors,Mental Health",49,"Monday,Tuesday",Carp,7.2
281,Thornie Lowndsborough,Structural Engineer,"Maternal,Cleaning,Computer",46,"Monday,Tuesday,Wednesday,Thursday,Saturday",Kanata,7.3
282,Swen Haysey,Human Resources Manager,"Child Care,Seniors,Maternal",51,"Wednesday,Friday",Sandy Hill,7.6
283,Bernadene Lumbley,Marketing Assistant,Computer,40,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,7.1
284,Garvey Hannibal,Accounting Assistant IV,"Cooking,Medical,Spiritual",19,"Tuesday,Friday,Saturday",Nepean,7
285,Dickie MacBey,Senior Quality Engineer,"Child Care,Seniors",40,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,6
286,Elonore Sears,Actuary,"Child Care,Tutoring",63,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Southkeys,6.1
287,Bord Deetch,Financial Analyst,"Child Care,Overnight",31,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Kemptvile,5.8
288,Zacharia Burgon,Administrative Assistant II,"Child Care,Seniors,Mental Health",25,"Sunday,Monday,Tuesday,Thursday,Saturday",Sandy Hill,5.3
289,Jervis Bradman,Graphic Designer,"Child Care,Overnight,Maternal",56,"Sunday,Monday,Tuesday,Wednesday,Thursday",Sandy Hill,5.8
290,Roberto Blenkharn,Mechanical Systems Engineer,Computer,56,"Tuesday,Wednesday,Friday,Saturday",Kemptvile,6.1
291,Nessy Layburn,Analog Circuit Design manager,"Child Care,Medical,Driving",37,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,7.5
292,Luisa Stiff,Senior Cost Accountant,"Overnight,Counselling,Spiritual",27,"Friday,Saturday",Kanata,7.2
293,Vivie Jozefowicz,Accounting Assistant III,Overnight,49,Wednesday,Carp,5.7
294,Carmel Cleere,Compensation Analyst,Medical,52,"Monday,Tuesday,Friday,Saturday",Southkeys,7.7
295,Roley Hawtrey,Actuary,"Child Care,Seniors,Tutoring",56,"Monday,Tuesday,Wednesday,Friday,Saturday",Kemptvile,7.1
296,Christy Matteuzzi,Nurse,"Medical,Spiritual",47,"Wednesday,Friday",Rockland,6.6
297,Lilah Sparsholt,Senior Developer,"Disability,Seniors,Overnight",42,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Nepean,5.7
298,Catlin Szymanowski,Human Resources Manager,"Overnight,Medical",57,"Sunday,Wednesday,Friday,Saturday",Southkeys,6.8
299,Leonardo Birch,Account Executive,"Cooking,Maternal,Medical",29,"Sunday,Thursday,Friday,Saturday",Barhaven,7.1
300,April Speaks,Human Resources Manager,"Medical,Shopping",33,"Monday,Tuesday,Wednesday,Thursday,Saturday",Glebe,8.1
301,Baxter Glasbey,Clinical Specialist,"Child Care,Maternal,Computer",65,"Sunday,Monday,Tuesday,Wednesday,Friday,Saturday",Glebe,7.2
302,Jan Byrne,Database Administrator I,"Child Care,Cooking,Medical",29,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Kanata,7.5
303,Kearney Garfield,Clinical Specialist,Driving,42,"Sunday,Wednesday",Glebe,7
304,Gary Freckleton,Environmental Specialist,"Overnight,Spiritual",61,"Sunday,Tuesday,Friday,Saturday",Nepean,5.5
305,Gustavus Alleyne,Speech Pathologist,"Overnight,Spiritual",19,Thursday,Southkeys,6.4
306,Waylen Lerigo,Graphic Designer,"Overnight,Maternal,Medical",56,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,6.7
307,Moreen Marler,Geologist IV,"Seniors,Therapy,Tutoring",44,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Rockland,6.2
308,Marabel Daintree,Actuary,"Maternal,Medical,Computer",23,"Sunday,Tuesday,Thursday",Carp,5.5
309,Tiebold Stuckley,Help Desk Technician,"Child Care,Maternal,Computer",18,"Sunday,Friday",Carleton Place,6
310,Melva Edelston,Assistant Professor,"Overnight,Spiritual",53,"Thursday,Friday,Saturday",Carleton Place,6.1
311,Corrianne MacConnel,Structural Analysis Engineer,"Cooking,Medical,Hospice",35,"Tuesday,Friday,Saturday",Kemptvile,7.7
312,Aimee Meco,Accountant III,"Medical,Spiritual",53,"Sunday,Monday,Tuesday,Wednesday,Friday,Saturday",Centretown,7.8
313,Tabor Kinchin,Information Systems Manager,"Medical,Driving",47,"Sunday,Monday,Tuesday",Carp,6.8
314,Dede Tytler,Health Coach II,"Seniors,Tutoring",65,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Orleans,7.4
315,Reynolds Chasle,Research Associate,"Seniors,Therapy,Tutoring",59,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,7.5
316,Neal Von Brook,Systems Administrator II,"Child Care,Medical,Mental Health",32,"Tuesday,Thursday,Friday,Saturday",Centretown,7
317,Carly Coulson,Accountant I,"Child Care,Seniors,Mental Health",45,Sunday,Centretown,5.2
318,Danie Sylvaine,Civil Engineer,"Child Care,Driving",27,"Monday,Thursday,Friday",Barhaven,5.3
319,Cristy Killough,Physical Therapy Assistant,"Overnight,Driving,Computer",37,Sunday,Rockland,6.2
320,Aguste Rummin,VP Marketing,"Child Care,Maternal,Computer",47,"Sunday,Monday,Wednesday,Friday,Saturday",Southkeys,7.3
321,Brewer Stump,Chief Design Engineer,"Maternal,Medical,Counselling",58,"Sunday,Saturday",Glebe,6.5
322,Hayyim Coonihan,Media Manager I,Medical,44,"Wednesday,Friday",Orleans,6.4
323,Walther Doward,Information Systems Manager,"Child Care,Maternal,Computer",45,"Sunday,Monday,Wednesday,Thursday",Southkeys,7.3
324,Sophronia Merle,Physical Therapy Assistant,"Child Care,Mental Health,Computer",56,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Southkeys,6.7
325,Whitman McGowran,Human Resources Manager,"Cooking,Medical",41,"Tuesday,Wednesday,Friday",Kanata,7.7
326,Stephan Gunter,Senior Developer,"Child Care,Seniors,Tutoring",28,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,6
327,Evelyn Chessell,Community Outreach Specialist,"Medical,Driving,Mental Health",38,Wednesday,Rockland,6
328,Budd Kenningham,Developer IV,"Cooking,Overnight,Medical",56,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,7.4
329,Robinia Keenlyside,Pharmacist,"Maternal,Driving,Computer",53,"Monday,Tuesday,Wednesday,Thursday,Saturday",Carp,7
330,Ulberto Georgius,Physical Therapy Assistant,"Maternal,Medical,Cleaning",52,"Sunday,Tuesday,Wednesday,Thursday",Orleans,5.4
331,Duncan Scholard,Operator,"Disability,Seniors,Overnight",39,"Tuesday,Thursday",Sandy Hill,6.9
332,Tani Drakers,Recruiting Manager,"Child Care,Cooking,Medical",51,"Monday,Tuesday,Wednesday,Thursday",Rockland,7.3
333,Johann Calender,Compensation Analyst,"Cooking,Medical",41,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,8
334,Isabelle Bushe,Sales Associate,"Cooking,Medical,Shopping",38,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Rockland,7.4
335,Korney Gaitung,Environmental Tech,"Child Care,Cooking,Medical",40,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Nepean,8.1
336,Dionysus Unwins,Geological Engineer,"Medical,Tutoring,Driving",51,"Monday,Wednesday,Thursday,Friday,Saturday",Kemptvile,6.1
337,Kalle MacFadden,Geological Engineer,"Overnight,Medical,Spiritual",55,"Tuesday,Friday",Carp,7.8
338,Prescott Matfin,Community Outreach Specialist,"Medical,Hospice",59,"Sunday,Monday,Thursday,Friday,Saturday",Barhaven,5.9
339,Lotty Clutterham,Marketing Manager,"Medical,Spiritual",22,Wednesday,Nepean,7.8
340,Ginnie Linnane,Librarian,"Overnight,Spiritual",25,Sunday,Carp,6.5
341,Hurlee De Gregoli,VP Sales,"Child Care,Maternal,Computer",40,"Sunday,Thursday",Orleans,6.6
342,Creighton Aitkenhead,Environmental Specialist,"Child Care,Maternal,Medical",34,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,7.4
343,Winfred O'Leahy,Chemical Engineer,"Child Care,Medical,Computer",28,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,6.4
344,Rahal Dongate,Marketing Manager,"Seniors,Therapy,Tutoring",60,"Sunday,Wednesday,Friday",Orleans,6.8
345,Coleman Costigan,Systems Administrator II,"Child Care,Seniors",48,"Sunday,Monday,Tuesday,Wednesday,Friday,Saturday",Glebe,6.2
346,Alaster Klimashevich,Social Worker,"Child Care,Seniors,Spiritual",26,"Monday,Friday",Glebe,5.8
347,Dante Nulty,Research Associate,"Seniors,Therapy,Tutoring",22,"Sunday,Monday,Thursday,Friday,Saturday",Carp,7.7
348,Moira Canet,Assistant Media Planner,"Maternal,Medical",27,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,7.3
349,Ranna Denyukhin,Nurse Practicioner,"Overnight,Driving",26,"Sunday,Monday",Centretown,5.1
350,Georas Tellwright,Biostatistician II,"Overnight,Tutoring,Spiritual",64,"Sunday,Monday",Downtown,7.7
351,Ulrich Able,Tax Accountant,Medical,62,Sunday,Sandy Hill,7.3
352,Margie Dyerson,Quality Control Specialist,Medical,56,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Sandy Hill,6.6
353,Shurwood Bellingham,Accountant I,"Overnight,Medical",33,"Monday,Thursday,Friday",Rockland,7.1
354,Michele Plampeyn,General Manager,"Overnight,Medical,Spiritual",57,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,6.7
355,Lorry Carwithen,Internal Auditor,"Seniors,Mental Health,Computer",59,"Tuesday,Wednesday,Friday",Nepean,6.3
356,Rebecca Mickan,Administrative Assistant III,"Child Care,Seniors,Tutoring",33,"Wednesday,Thursday,Friday",Kemptvile,5.5
357,Gris Holcroft,Administrative Assistant IV,"Overnight,Medical",39,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,7.4
358,Norbert Speaks,Sales Associate,"Cooking,Medical,Spiritual",63,"Monday,Tuesday,Thursday,Friday",Kanata,7.7
359,Noelyn Borwick,Programmer Analyst IV,"Overnight,Tutoring",34,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Glebe,6.6
360,Terese Thornhill,Occupational Therapist,"Overnight,Medical,Tutoring",58,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Southkeys,7.8
361,Farly Petit,Environmental Tech,Overnight,51,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Downtown,6.9
362,Oralia Cobain,Help Desk Technician,"Driving,Computer",28,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,5.7
363,Cedric Claessens,Physical Therapy Assistant,"Child Care,Seniors,Mental Health",40,"Wednesday,Thursday,Saturday",Orleans,7.8
364,Law Haddow,Budget/Accounting Analyst II,"Seniors,Overnight,Driving",29,"Sunday,Monday,Wednesday,Friday,Saturday",Kanata,7.7
365,Jerrilee Dowrey,Assistant Media Planner,"Overnight,Cleaning",45,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,6.3
366,Georgie Camidge,Assistant Professor,Medical,45,"Sunday,Saturday",Southkeys,8
367,Deirdre Culligan,Environmental Tech,"Seniors,Medical,Tutoring",30,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,5.5
368,Noach Piscopo,Statistician II,"Medical,Hospice",42,Monday,Southkeys,6.9
369,Maurizia MacAne,Computer Systems Analyst I,"Child Care,Seniors",24,"Monday,Wednesday,Thursday,Friday,Saturday",Orleans,7
370,Dido Antoniat,Financial Advisor,"Child Care,Seniors,Medical",29,"Sunday,Monday,Tuesday,Wednesday,Thursday",Centretown,5.7
371,Boone Brookhouse,Accountant II,"Child Care,Medical,Mental Health",18,"Monday,Tuesday,Wednesday,Friday",Carleton Place,6
372,Gustav Godspeede,Product Engineer,"Child Care,Cleaning,Mental Health",54,"Sunday,Monday,Tuesday,Saturday",Centretown,6.8
373,Aldrich Kulic,Teacher,"Child Care,Maternal,Medical",41,"Monday,Tuesday,Thursday",Kanata,6.3
374,Nevsa Kehir,Office Assistant III,"Child Care,Maternal,Tutoring",46,Tuesday,Carp,6.7
375,Valentia Embleton,Paralegal,"Cooking,Overnight,Medical",24,"Sunday,Monday,Tuesday,Wednesday,Friday",Downtown,6.9
376,Graham Poile,Actuary,"Child Care,Maternal,Computer",42,"Monday,Tuesday,Wednesday,Thursday,Friday",Barhaven,5.7
377,Annecorinne Curnok,Project Manager,"Cooking,Maternal,Medical",63,"Monday,Tuesday,Wednesday,Friday,Saturday",Kemptvile,6.9
378,Alfy Belleny,Financial Analyst,"Medical,Hospice",54,"Sunday,Monday,Tuesday,Thursday,Friday",Carp,7.6
379,Merell Brashier,Programmer Analyst I,"Seniors,Overnight,Medical",54,"Sunday,Wednesday,Saturday",Downtown,7.1
380,Berenice Carthew,Nurse,"Child Care,Seniors,Computer",28,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,6.1
381,Suzi De Filippis,Product Engineer,"Overnight,Tutoring,Driving",41,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,7.6
382,Marcelle Desvignes,Design Engineer,"Medical,Hospice",36,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Centretown,7.4
383,Harrison Alderwick,Data Coordiator,"Driving,Computer",40,"Thursday,Saturday",Nepean,6.6
384,Zacharie Signore,Geologist IV,"Medical,Shopping,Computer",43,"Monday,Saturday",Nepean,7.6
385,Margie Kermannes,Legal Assistant,"Disability,Child Care,Seniors",64,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,7.8
386,Amalia Neaverson,General Manager,"Child Care,Seniors,Medical",43,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Kanata,7.1
387,Northrop Fellini,Safety Technician IV,"Child Care,Overnight,Therapy",52,Friday,Sandy Hill,5.6
388,Everard MacGauhy,Staff Scientist,"Child Care,Seniors,Medical",51,Sunday,Orleans,6.7
389,Darsey Barthropp,Software Test Engineer III,"Child Care,Seniors,Mental Health",38,"Tuesday,Wednesday,Saturday",Kemptvile,6.7
390,Zeke Burk,Tax Accountant,"Child Care,Seniors,Mental Health",49,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Carp,6.6
391,Sheri Vowdon,Director of Sales,"Child Care,Overnight",52,"Sunday,Monday,Tuesday,Wednesday",Centretown,6.3
392,Melitta Rook,Dental Hygienist,"Child Care,Maternal,Medical",27,"Sunday,Tuesday,Thursday,Saturday",Nepean,5.8
393,Marvin Burnand,Office Assistant IV,"Cooking,Medical",34,Wednesday,Carp,7.2
394,Abbie Coot,Analyst Programmer,"Overnight,Spiritual",19,"Monday,Tuesday,Friday,Saturday",Barhaven,5
395,Barbra Joberne,Sales Associate,Overnight,48,"Tuesday,Thursday",Sandy Hill,5.4
396,Jacinda Frotton,Executive Secretary,"Medical,Tutoring,Spiritual",60,"Monday,Wednesday",Kanata,7.2
397,Nickolai Harlock,Professor,"Child Care,Seniors,Mental Health",51,"Monday,Tuesday,Wednesday,Friday",Kemptvile,6.8
398,Stacee Letch,Compensation Analyst,Overnight,55,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Rockland,5.5
399,Millie Caslin,Sales Associate,"Overnight,Mental Health",38,"Sunday,Monday,Thursday",Sandy Hill,6
400,Abbe Scroggs,Staff Scientist,"Overnight,Medical",58,"Sunday,Tuesday,Wednesday,Friday",Centretown,6.1
401,Garrick Ubach,Compensation Analyst,"Disability,Child Care,Seniors",22,"Monday,Wednesday,Thursday,Friday,Saturday",Kanata,6.4
402,Arnie Felstead,Legal Assistant,Driving,45,"Sunday,Monday,Tuesday",Kanata,3.9
403,Janel Gyse,Chemical Engineer,"Child Care,Cooking,Maternal",33,Saturday,Kanata,7.1
404,Adaline Stallworth,Editor,"Disability,Seniors,Overnight",47,"Monday,Wednesday",Centretown,7.7
405,Emmalynn Fontes,Tax Accountant,"Medical,Spiritual",29,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,6.7
406,Nathanael Guilliatt,Research Assistant II,"Medical,Cleaning,Computer",19,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,6.7
407,Beck Filliskirk,Health Coach IV,"Medical,Shopping,Computer",64,"Sunday,Monday,Thursday,Friday,Saturday",Nepean,7.4
408,Vikki Le Gassick,Budget/Accounting Analyst II,"Disability,Seniors,Overnight",40,"Monday,Thursday,Friday",Downtown,7.8
409,Ric Perrone,Systems Administrator IV,"Child Care,Seniors,Mental Health",58,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,6.6
410,Nonie McGray,Internal Auditor,"Seniors,Overnight",63,"Sunday,Tuesday",Rockland,6.1
411,Mame Gregan,Web Designer I,"Child Care,Computer",37,"Sunday,Monday,Wednesday,Friday",Kanata,7.8
412,Francesco Ida,Marketing Assistant,"Overnight,Counselling",23,"Monday,Wednesday,Thursday,Friday",Carleton Place,6.5
413,Gideon Broadhead,Graphic Designer,"Disability,Seniors,Overnight",41,"Sunday,Monday,Wednesday,Friday,Saturday",Carp,7.3
414,Oswell Bramall,Financial Analyst,"Maternal,Medical,Computer",62,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Nepean,7.2
415,Colby Bramsen,Web Developer IV,"Child Care,Seniors,Maternal",58,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,5.6
416,Sonnnie Farrand,Mechanical Systems Engineer,"Overnight,Medical,Driving",61,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Barhaven,5.4
417,Sebastiano Semrad,Speech Pathologist,Medical,50,"Tuesday,Wednesday",Sandy Hill,6.9
418,Constantino Nottram,Statistician I,"Medical,Cleaning,Spiritual",60,"Monday,Tuesday,Wednesday,Thursday,Saturday",Sandy Hill,7.8
419,Vernon Bummfrey,Automation Specialist II,"Seniors,Therapy,Tutoring",48,"Tuesday,Friday",Carp,7.7
