Name,Occupation,Services,Age,Availability,Location,Rating
Silvain Macieja,Editor,"Child Care,Seniors,Mental Health",41,"Sunday,Wednesday,Saturday",Nepean,7.8
Micheal Perel,Recruiter,"Child Care,Seniors,Overnight",30,"Sunday,Wednesday,Friday",Kanata,5.7
Hans Ranklin,Editor,"Medical,Driving",41,"Sunday,Tuesday",Barhaven,6.1
Ilka Fusco,Mechanical Systems Engineer,"Child Care,Overnight",41,"Monday,Tuesday,Wednesday,Friday,Saturday",Kemptvile,7.7
Beilul Gillies,Programmer I,"Child Care,Seniors,Mental Health",38,"Sunday,Thursday,Friday",Kanata,6.7
Trixi Elsmor,Financial Advisor,"Disability,Seniors,Overnight",19,"Monday,Tuesday,Wednesday,Friday,Saturday",Centretown,7.1
Felicdad Billyeald,Tax Accountant,"Driving,Cleaning",51,"Tuesday,Wednesday,Thursday,Friday",Nepean,6.9
Johnny Enston,Mechanical Systems Engineer,"Maternal,Medical,Cleaning",30,Thursday,Glebe,7.8
Duky Measures,Software Consultant,"Overnight,Maternal",41,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Downtown,7
Davidson Whittle,Assistant Professor,Medical,37,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,7
Xavier Swatton,Senior Developer,"Overnight,Medical,Spiritual",47,"Tuesday,Wednesday,Saturday",Carleton Place,7.1
Tootsie Palomba,Project Manager,"Child Care,Seniors,Mental Health",25,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Glebe,6.4
Nevil Samweyes,Teacher,"Child Care,Seniors,Therapy",37,Sunday,Southkeys,7
Elna Domenc,Financial Advisor,"Driving,Mental Health,Computer",44,"Monday,Saturday",Nepean,4.8
Edouard Monier,Geologist II,"Medical,Tutoring,Home Maintenence",58,"Monday,Tuesday,Thursday",Carp,8.2
Karol Colisbe,Director of Sales,"Maternal,Medical,Computer",48,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,5.2
Moreen Catlette,Media Manager IV,"Child Care,Seniors,Medical",56,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,7.8
Joan Idill,Geological Engineer,"Child Care,Seniors,Computer",26,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Kanata,7.4
Khalil Belz,Developer IV,"Child Care,Seniors,Medical",34,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,6.1
Amabel Crouch,Database Administrator II,"Medical,Spiritual",41,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,8
Freddy Eyckel,Compensation Analyst,"Cooking,Medical,Shopping",52,Monday,Carp,6.8
Kamilah Zanetti,VP Quality Control,"Medical,Driving,Computer",62,"Sunday,Monday,Tuesday,Wednesday,Saturday",Centretown,3.9
Siobhan Mathivon,VP Sales,"Seniors,Overnight,Medical",35,"Sunday,Monday,Wednesday,Thursday",Glebe,8.1
Olin Booi,Civil Engineer,"Child Care,Seniors,Spiritual",48,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,5.9
Elwood Redferne,Media Manager III,"Child Care,Medical,Home Maintenence",56,"Monday,Tuesday,Wednesday,Friday",Carp,7.6
Deirdre Couves,Geologist I,"Disability,Seniors,Overnight",21,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,8.2
Lucinda Tidball,Account Representative II,"Disability,Seniors,Overnight",23,"Sunday,Wednesday,Thursday,Saturday",Centretown,5.8
Udall Trahair,Senior Cost Accountant,"Child Care,Seniors,Mental Health",18,"Monday,Wednesday,Saturday",Southkeys,6.5
Dniren Clinnick,Web Designer IV,"Seniors,Therapy,Tutoring",46,"Tuesday,Wednesday,Thursday,Friday",Southkeys,5.9
Editha Filippozzi,Environmental Tech,"Medical,Counsellingal,Spiritual",23,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Rockland,7.6
Emmery Walkley,Civil Engineer,"Medical,Mental Health,Computer",23,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Sandy Hill,7.9
Lucias Margram,Software Consultant,"Overnight,Medical",37,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Kemptvile,7.4
Tamera Rea,Teacher,"Child Care,Overnight,Maternal",19,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,7.1
Edmon Hatterslay,Sales Associate,"Cooking,Overnight,Medical",40,"Sunday,Monday,Thursday,Saturday",Orleans,8.6
Robinett Bloomfield,GIS Technical Architect,"Overnight,Medical,Spiritual",21,"Sunday,Monday,Thursday",Glebe,4.9
Isa Hamlyn,Senior Editor,"Medical,Computer",62,Wednesday,Nepean,7.3
Mick Falkner,Clinical Specialist,"Cooking,Medical,Shopping",18,"Sunday,Friday",Rockland,7.9
Nigel Van den Oord,Chemical Engineer,"Child Care,Seniors,Mental Health",54,"Sunday,Monday,Tuesday,Thursday,Friday",Downtown,6.7
Carma Yurukhin,Electrical Engineer,"Driving,Cleaning,Computer",23,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,7.5
Lynnett Crux,Geologist IV,Overnight,36,"Monday,Tuesday,Wednesday,Thursday,Saturday",Centretown,7.8
Barbey Laye,Account Coordinator,"Child Care,Seniors,Mental Health",57,"Wednesday,Friday",Kemptvile,5.8
Guido Knowller,VP Product Management,"Child Care,Medical,Mental Health",52,"Sunday,Monday,Tuesday,Wednesday,Saturday",Carp,7.6
Jannelle Focke,Software Consultant,Driving,26,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,6.4
Franciska Kramer,Senior Cost Accountant,"Medical,Computer",41,"Monday,Tuesday,Wednesday,Saturday",Kemptvile,7.1
Broderick Charge,Editor,"Overnight,Medical,Spiritual",37,"Monday,Tuesday,Wednesday,Friday,Saturday",Kemptvile,7.8
Ana Llewellin,Civil Engineer,"Medical,Computer",50,"Monday,Tuesday,Thursday,Friday,Saturday",Sandy Hill,8
Borden Darville,Biostatistician I,"Overnight,Medical",48,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Carp,6.2
Delinda Baudacci,Research Assistant IV,Medical,40,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,7
Jobyna Baccas,Analog Circuit Design manager,"Child Care,Seniors,Overnight",28,"Thursday,Friday,Saturday",Kemptvile,6
Kipp Yukhov,Health Coach III,"Medical,Driving,Computer",57,"Monday,Tuesday,Wednesday,Thursday",Rockland,4.9
Nissa Coils,Senior Cost Accountant,Overnight,57,"Sunday,Tuesday,Saturday",Downtown,6
Ashlie Diben,VP Sales,"Medical,Mental Health",46,"Monday,Tuesday,Wednesday,Thursday,Friday",Carp,7.5
Vallie Clausewitz,VP Sales,"Child Care,Seniors,Mental Health",45,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Nepean,6.7
Monti Annandale,Recruiting Manager,Driving,49,"Sunday,Tuesday,Thursday,Friday",Rockland,3.7
Kyle Guisler,Assistant Media Planner,"Child Care,Seniors,Computer",58,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,7.8
Cherish Shoemark,GIS Technical Architect,"Seniors,Tutoring",65,"Monday,Tuesday,Wednesday,Saturday",Rockland,7.9
Ardyth Cancelier,Teacher,"Child Care,Overnight,Maternal",33,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,7.2
Terry Ambroz,Sales Representative,"Overnight,Medical,Counselling",35,"Sunday,Monday,Tuesday,Friday",Barhaven,8
Mildrid Ellwand,Legal Assistant,"Disability,Seniors,Overnight",23,"Sunday,Monday,Tuesday,Wednesday,Friday",Southkeys,6.8
Garvin Twigg,Product Engineer,"Child Care,Seniors,Cleaning",19,"Monday,Tuesday,Wednesday,Thursday,Saturday",Kemptvile,7
Winthrop Dallyn,Junior Executive,"Child Care,Overnight,Maternal",42,"Sunday,Monday,Thursday,Friday,Saturday",Kemptvile,7.1
Hervey Vlasenkov,Chemical Engineer,"Maternal,Medical,Shopping",25,"Sunday,Friday",Nepean,7.7
Reider Forgan,Design Engineer,Overnight,46,"Monday,Thursday,Saturday",Kemptvile,7
Mikey Cloute,Data Coordiator,"Child Care,Seniors,Mental Health",49,"Monday,Tuesday",Carp,7.2
Thornie Lowndsborough,Structural Engineer,"Maternal,Cleaning,Computer",46,"Monday,Tuesday,Wednesday,Thursday,Saturday",Kanata,7.3
Swen Haysey,Human Resources Manager,"Child Care,Seniors,Maternal",51,"Wednesday,Friday",Sandy Hill,7.6
Bernadene Lumbley,Marketing Assistant,Computer,40,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,7.1
Garvey Hannibal,Accounting Assistant IV,"Cooking,Medical,Spiritual",19,"Tuesday,Friday,Saturday",Nepean,7
Dickie MacBey,Senior Quality Engineer,"Child Care,Seniors",40,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,6
Elonore Sears,Actuary,"Child Care,Tutoring",63,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Southkeys,6.1
Bord Deetch,Financial Analyst,"Child Care,Overnight",31,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Kemptvile,5.8
Zacharia Burgon,Administrative Assistant II,"Child Care,Seniors,Mental Health",25,"Sunday,Monday,Tuesday,Thursday,Saturday",Sandy Hill,5.3
Jervis Bradman,Graphic Designer,"Child Care,Overnight,Maternal",56,"Sunday,Monday,Tuesday,Wednesday,Thursday",Sandy Hill,5.8
Roberto Blenkharn,Mechanical Systems Engineer,Computer,56,"Tuesday,Wednesday,Friday,Saturday",Kemptvile,6.1
Nessy Layburn,Analog Circuit Design manager,"Child Care,Medical,Driving",37,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,7.5
Luisa Stiff,Senior Cost Accountant,"Overnight,Counselling,Spiritual",27,"Friday,Saturday",Kanata,7.2
Vivie Jozefowicz,Accounting Assistant III,Overnight,49,Wednesday,Carp,5.7
Carmel Cleere,Compensation Analyst,Medical,52,"Monday,Tuesday,Friday,Saturday",Southkeys,7.7
Roley Hawtrey,Actuary,"Child Care,Seniors,Tutoring",56,"Monday,Tuesday,Wednesday,Friday,Saturday",Kemptvile,7.1
Christy Matteuzzi,Nurse,"Medical,Spiritual",47,"Wednesday,Friday",Rockland,6.6
Lilah Sparsholt,Senior Developer,"Disability,Seniors,Overnight",42,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Nepean,5.7
Catlin Szymanowski,Human Resources Manager,"Overnight,Medical",57,"Sunday,Wednesday,Friday,Saturday",Southkeys,6.8
Leonardo Birch,Account Executive,"Cooking,Maternal,Medical",29,"Sunday,Thursday,Friday,Saturday",Barhaven,7.1
April Speaks,Human Resources Manager,"Medical,Shopping",33,"Monday,Tuesday,Wednesday,Thursday,Saturday",Glebe,8.1
Baxter Glasbey,Clinical Specialist,"Child Care,Maternal,Computer",65,"Sunday,Monday,Tuesday,Wednesday,Friday,Saturday",Glebe,7.2
Jan Byrne,Database Administrator I,"Child Care,Cooking,Medical",29,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Kanata,7.5
Kearney Garfield,Clinical Specialist,Driving,42,"Sunday,Wednesday",Glebe,7
Gary Freckleton,Environmental Specialist,"Overnight,Spiritual",61,"Sunday,Tuesday,Friday,Saturday",Nepean,5.5
Gustavus Alleyne,Speech Pathologist,"Overnight,Spiritual",19,Thursday,Southkeys,6.4
Waylen Lerigo,Graphic Designer,"Overnight,Maternal,Medical",56,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,6.7
Moreen Marler,Geologist IV,"Seniors,Therapy,Tutoring",44,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Rockland,6.2
Marabel Daintree,Actuary,"Maternal,Medical,Computer",23,"Sunday,Tuesday,Thursday",Carp,5.5
Tiebold Stuckley,Help Desk Technician,"Child Care,Maternal,Computer",18,"Sunday,Friday",Carleton Place,6
Melva Edelston,Assistant Professor,"Overnight,Spiritual",53,"Thursday,Friday,Saturday",Carleton Place,6.1
Corrianne MacConnel,Structural Analysis Engineer,"Cooking,Medical,Hospice",35,"Tuesday,Friday,Saturday",Kemptvile,7.7
Aimee Meco,Accountant III,"Medical,Spiritual",53,"Sunday,Monday,Tuesday,Wednesday,Friday,Saturday",Centretown,7.8
Tabor Kinchin,Information Systems Manager,"Medical,Driving",47,"Sunday,Monday,Tuesday",Carp,6.8
Dede Tytler,Health Coach II,"Seniors,Tutoring",65,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Orleans,7.4
Reynolds Chasle,Research Associate,"Seniors,Therapy,Tutoring",59,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,7.5
Neal Von Brook,Systems Administrator II,"Child Care,Medical,Mental Health",32,"Tuesday,Thursday,Friday,Saturday",Centretown,7
Carly Coulson,Accountant I,"Child Care,Seniors,Mental Health",45,Sunday,Centretown,5.2
Danie Sylvaine,Civil Engineer,"Child Care,Driving",27,"Monday,Thursday,Friday",Barhaven,5.3
Cristy Killough,Physical Therapy Assistant,"Overnight,Driving,Computer",37,Sunday,Rockland,6.2
Aguste Rummin,VP Marketing,"Child Care,Maternal,Computer",47,"Sunday,Monday,Wednesday,Friday,Saturday",Southkeys,7.3
Brewer Stump,Chief Design Engineer,"Maternal,Medical,Counselling",58,"Sunday,Saturday",Glebe,6.5
Hayyim Coonihan,Media Manager I,Medical,44,"Wednesday,Friday",Orleans,6.4
Walther Doward,Information Systems Manager,"Child Care,Maternal,Computer",45,"Sunday,Monday,Wednesday,Thursday",Southkeys,7.3
Sophronia Merle,Physical Therapy Assistant,"Child Care,Mental Health,Computer",56,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Southkeys,6.7
Whitman McGowran,Human Resources Manager,"Cooking,Medical",41,"Tuesday,Wednesday,Friday",Kanata,7.7
Stephan Gunter,Senior Developer,"Child Care,Seniors,Tutoring",28,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,6
Evelyn Chessell,Community Outreach Specialist,"Medical,Driving,Mental Health",38,Wednesday,Rockland,6
Budd Kenningham,Developer IV,"Cooking,Overnight,Medical",56,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,7.4
Robinia Keenlyside,Pharmacist,"Maternal,Driving,Computer",53,"Monday,Tuesday,Wednesday,Thursday,Saturday",Carp,7
Ulberto Georgius,Physical Therapy Assistant,"Maternal,Medical,Cleaning",52,"Sunday,Tuesday,Wednesday,Thursday",Orleans,5.4
Duncan Scholard,Operator,"Disability,Seniors,Overnight",39,"Tuesday,Thursday",Sandy Hill,6.9
Tani Drakers,Recruiting Manager,"Child Care,Cooking,Medical",51,"Monday,Tuesday,Wednesday,Thursday",Rockland,7.3
Johann Calender,Compensation Analyst,"Cooking,Medical",41,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,8
Isabelle Bushe,Sales Associate,"Cooking,Medical,Shopping",38,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Rockland,7.4
Korney Gaitung,Environmental Tech,"Child Care,Cooking,Medical",40,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Nepean,8.1
Dionysus Unwins,Geological Engineer,"Medical,Tutoring,Driving",51,"Monday,Wednesday,Thursday,Friday,Saturday",Kemptvile,6.1
Kalle MacFadden,Geological Engineer,"Overnight,Medical,Spiritual",55,"Tuesday,Friday",Carp,7.8
Prescott Matfin,Community Outreach Specialist,"Medical,Hospice",59,"Sunday,Monday,Thursday,Friday,Saturday",Barhaven,5.9
Lotty Clutterham,Marketing Manager,"Medical,Spiritual",22,Wednesday,Nepean,7.8
Ginnie Linnane,Librarian,"Overnight,Spiritual",25,Sunday,Carp,6.5
Hurlee De Gregoli,VP Sales,"Child Care,Maternal,Computer",40,"Sunday,Thursday",Orleans,6.6
Creighton Aitkenhead,Environmental Specialist,"Child Care,Maternal,Medical",34,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,7.4
Winfred O'Leahy,Chemical Engineer,"Child Care,Medical,Computer",28,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,6.4
Rahal Dongate,Marketing Manager,"Seniors,Therapy,Tutoring",60,"Sunday,Wednesday,Friday",Orleans,6.8
Coleman Costigan,Systems Administrator II,"Child Care,Seniors",48,"Sunday,Monday,Tuesday,Wednesday,Friday,Saturday",Glebe,6.2
Alaster Klimashevich,Social Worker,"Child Care,Seniors,Spiritual",26,"Monday,Friday",Glebe,5.8
Dante Nulty,Research Associate,"Seniors,Therapy,Tutoring",22,"Sunday,Monday,Thursday,Friday,Saturday",Carp,7.7
Moira Canet,Assistant Media Planner,"Maternal,Medical",27,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,7.3
Ranna Denyukhin,Nurse Practicioner,"Overnight,Driving",26,"Sunday,Monday",Centretown,5.1
Georas Tellwright,Biostatistician II,"Overnight,Tutoring,Spiritual",64,"Sunday,Monday",Downtown,7.7
Ulrich Able,Tax Accountant,Medical,62,Sunday,Sandy Hill,7.3
Margie Dyerson,Quality Control Specialist,Medical,56,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Sandy Hill,6.6
Shurwood Bellingham,Accountant I,"Overnight,Medical",33,"Monday,Thursday,Friday",Rockland,7.1
Michele Plampeyn,General Manager,"Overnight,Medical,Spiritual",57,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,6.7
Lorry Carwithen,Internal Auditor,"Seniors,Mental Health,Computer",59,"Tuesday,Wednesday,Friday",Nepean,6.3
Rebecca Mickan,Administrative Assistant III,"Child Care,Seniors,Tutoring",33,"Wednesday,Thursday,Friday",Kemptvile,5.5
Gris Holcroft,Administrative Assistant IV,"Overnight,Medical",39,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,7.4
Norbert Speaks,Sales Associate,"Cooking,Medical,Spiritual",63,"Monday,Tuesday,Thursday,Friday",Kanata,7.7
Noelyn Borwick,Programmer Analyst IV,"Overnight,Tutoring",34,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Glebe,6.6
Terese Thornhill,Occupational Therapist,"Overnight,Medical,Tutoring",58,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Southkeys,7.8
Farly Petit,Environmental Tech,Overnight,51,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Downtown,6.9
Oralia Cobain,Help Desk Technician,"Driving,Computer",28,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,5.7
Cedric Claessens,Physical Therapy Assistant,"Child Care,Seniors,Mental Health",40,"Wednesday,Thursday,Saturday",Orleans,7.8
Law Haddow,Budget/Accounting Analyst II,"Seniors,Overnight,Driving",29,"Sunday,Monday,Wednesday,Friday,Saturday",Kanata,7.7
Jerrilee Dowrey,Assistant Media Planner,"Overnight,Cleaning",45,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,6.3
Georgie Camidge,Assistant Professor,Medical,45,"Sunday,Saturday",Southkeys,8
Deirdre Culligan,Environmental Tech,"Seniors,Medical,Tutoring",30,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,5.5
Noach Piscopo,Statistician II,"Medical,Hospice",42,Monday,Southkeys,6.9
Maurizia MacAne,Computer Systems Analyst I,"Child Care,Seniors",24,"Monday,Wednesday,Thursday,Friday,Saturday",Orleans,7
Dido Antoniat,Financial Advisor,"Child Care,Seniors,Medical",29,"Sunday,Monday,Tuesday,Wednesday,Thursday",Centretown,5.7
Boone Brookhouse,Accountant II,"Child Care,Medical,Mental Health",18,"Monday,Tuesday,Wednesday,Friday",Carleton Place,6
Gustav Godspeede,Product Engineer,"Child Care,Cleaning,Mental Health",54,"Sunday,Monday,Tuesday,Saturday",Centretown,6.8
Aldrich Kulic,Teacher,"Child Care,Maternal,Medical",41,"Monday,Tuesday,Thursday",Kanata,6.3
Nevsa Kehir,Office Assistant III,"Child Care,Maternal,Tutoring",46,Tuesday,Carp,6.7
Valentia Embleton,Paralegal,"Cooking,Overnight,Medical",24,"Sunday,Monday,Tuesday,Wednesday,Friday",Downtown,6.9
Graham Poile,Actuary,"Child Care,Maternal,Computer",42,"Monday,Tuesday,Wednesday,Thursday,Friday",Barhaven,5.7
Annecorinne Curnok,Project Manager,"Cooking,Maternal,Medical",63,"Monday,Tuesday,Wednesday,Friday,Saturday",Kemptvile,6.9
Alfy Belleny,Financial Analyst,"Medical,Hospice",54,"Sunday,Monday,Tuesday,Thursday,Friday",Carp,7.6
Merell Brashier,Programmer Analyst I,"Seniors,Overnight,Medical",54,"Sunday,Wednesday,Saturday",Downtown,7.1
Berenice Carthew,Nurse,"Child Care,Seniors,Computer",28,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,6.1
Suzi De Filippis,Product Engineer,"Overnight,Tutoring,Driving",41,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,7.6
Marcelle Desvignes,Design Engineer,"Medical,Hospice",36,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Centretown,7.4
Harrison Alderwick,Data Coordiator,"Driving,Computer",40,"Thursday,Saturday",Nepean,6.6
Zacharie Signore,Geologist IV,"Medical,Shopping,Computer",43,"Monday,Saturday",Nepean,7.6
Margie Kermannes,Legal Assistant,"Disability,Child Care,Seniors",64,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,7.8
Amalia Neaverson,General Manager,"Child Care,Seniors,Medical",43,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Kanata,7.1
Northrop Fellini,Safety Technician IV,"Child Care,Overnight,Therapy",52,Friday,Sandy Hill,5.6
Everard MacGauhy,Staff Scientist,"Child Care,Seniors,Medical",51,Sunday,Orleans,6.7
Darsey Barthropp,Software Test Engineer III,"Child Care,Seniors,Mental Health",38,"Tuesday,Wednesday,Saturday",Kemptvile,6.7
Zeke Burk,Tax Accountant,"Child Care,Seniors,Mental Health",49,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Carp,6.6
Sheri Vowdon,Director of Sales,"Child Care,Overnight",52,"Sunday,Monday,Tuesday,Wednesday",Centretown,6.3
Melitta Rook,Dental Hygienist,"Child Care,Maternal,Medical",27,"Sunday,Tuesday,Thursday,Saturday",Nepean,5.8
Marvin Burnand,Office Assistant IV,"Cooking,Medical",34,Wednesday,Carp,7.2
Abbie Coot,Analyst Programmer,"Overnight,Spiritual",19,"Monday,Tuesday,Friday,Saturday",Barhaven,5
Barbra Joberne,Sales Associate,Overnight,48,"Tuesday,Thursday",Sandy Hill,5.4
Jacinda Frotton,Executive Secretary,"Medical,Tutoring,Spiritual",60,"Monday,Wednesday",Kanata,7.2
Nickolai Harlock,Professor,"Child Care,Seniors,Mental Health",51,"Monday,Tuesday,Wednesday,Friday",Kemptvile,6.8
Stacee Letch,Compensation Analyst,Overnight,55,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Rockland,5.5
Millie Caslin,Sales Associate,"Overnight,Mental Health",38,"Sunday,Monday,Thursday",Sandy Hill,6
Abbe Scroggs,Staff Scientist,"Overnight,Medical",58,"Sunday,Tuesday,Wednesday,Friday",Centretown,6.1
Garrick Ubach,Compensation Analyst,"Disability,Child Care,Seniors",22,"Monday,Wednesday,Thursday,Friday,Saturday",Kanata,6.4
Arnie Felstead,Legal Assistant,Driving,45,"Sunday,Monday,Tuesday",Kanata,3.9
Janel Gyse,Chemical Engineer,"Child Care,Cooking,Maternal",33,Saturday,Kanata,7.1
Adaline Stallworth,Editor,"Disability,Seniors,Overnight",47,"Monday,Wednesday",Centretown,7.7
Emmalynn Fontes,Tax Accountant,"Medical,Spiritual",29,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,6.7
Nathanael Guilliatt,Research Assistant II,"Medical,Cleaning,Computer",19,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,6.7
Beck Filliskirk,Health Coach IV,"Medical,Shopping,Computer",64,"Sunday,Monday,Thursday,Friday,Saturday",Nepean,7.4
Vikki Le Gassick,Budget/Accounting Analyst II,"Disability,Seniors,Overnight",40,"Monday,Thursday,Friday",Downtown,7.8
Ric Perrone,Systems Administrator IV,"Child Care,Seniors,Mental Health",58,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,6.6
Nonie McGray,Internal Auditor,"Seniors,Overnight",63,"Sunday,Tuesday",Rockland,6.1
Mame Gregan,Web Designer I,"Child Care,Computer",37,"Sunday,Monday,Wednesday,Friday",Kanata,7.8
Francesco Ida,Marketing Assistant,"Overnight,Counselling",23,"Monday,Wednesday,Thursday,Friday",Carleton Place,6.5
Gideon Broadhead,Graphic Designer,"Disability,Seniors,Overnight",41,"Sunday,Monday,Wednesday,Friday,Saturday",Carp,7.3
Oswell Bramall,Financial Analyst,"Maternal,Medical,Computer",62,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Nepean,7.2
Colby Bramsen,Web Developer IV,"Child Care,Seniors,Maternal",58,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,5.6
Sonnnie Farrand,Mechanical Systems Engineer,"Overnight,Medical,Driving",61,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Barhaven,5.4
Sebastiano Semrad,Speech Pathologist,Medical,50,"Tuesday,Wednesday",Sandy Hill,6.9
Constantino Nottram,Statistician I,"Medical,Cleaning,Spiritual",60,"Monday,Tuesday,Wednesday,Thursday,Saturday",Sandy Hill,7.8
Vernon Bummfrey,Automation Specialist II,"Seniors,Therapy,Tutoring",48,"Tuesday,Friday",Carp,7.7
Oby Neill,Business Systems Development Analyst,Medical,19,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,7.2
Joan Gonthier,Social Worker,"Child Care,Medical,Computer",51,"Sunday,Monday,Tuesday,Thursday",Downtown,6.8
Crista Fullbrook,Human Resources Assistant I,Medical,25,"Wednesday,Friday",Barhaven,5.7
Maxy Regglar,Account Coordinator,"Child Care,Driving,Spiritual",37,"Sunday,Monday,Wednesday,Friday,Saturday",Centretown,5.8
Christin Murdy,Electrical Engineer,"Child Care,Medical,Tutoring",37,"Monday,Tuesday,Wednesday",Carp,6.2
Kira Bausmann,Staff Scientist,"Child Care,Maternal,Medical",59,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Southkeys,5.9
Arthur Coulston,Health Coach III,"Medical,Tutoring,Spiritual",26,"Monday,Tuesday,Thursday,Friday",Sandy Hill,7.8
Eulalie Bavester,Analyst Programmer,"Child Care,Maternal,Computer",64,"Tuesday,Wednesday",Barhaven,6.5
Daphne Peddowe,Research Assistant II,"Child Care,Cleaning,Computer",60,"Friday,Saturday",Carleton Place,8.1
Whitaker Imason,Tax Accountant,"Driving,Cleaning,Computer",64,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,5.2
Torrie Hubbucks,Sales Associate,"Child Care,Driving,Mental Health",51,"Sunday,Wednesday,Thursday,Friday,Saturday",Kemptvile,6
Jocelyne Elkin,Assistant Manager,"Overnight,Medical",28,"Monday,Thursday",Kanata,8.4
Galen Maneylaws,Food Chemist,Overnight,47,"Sunday,Wednesday,Friday,Saturday",Sandy Hill,4.7
Yankee Upcraft,Biostatistician II,"Child Care,Seniors,Driving",46,Wednesday,Kemptvile,7
